[header]
width=37
height=11
tilewidth=64
tileheight=64
orientation=orthogonal

[tilesets]
tileset=grass.png,64,64,0,0

[layer]
type=Tile Layer 1
data=
0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,
5,6,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,5,6,
21,22,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,21,22,
21,22,0,0,79,0,0,0,0,0,0,0,0,5,6,0,0,0,37,38,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,21,22,
21,22,0,0,79,0,0,0,0,0,0,0,0,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,21,22,
21,22,0,0,79,0,0,0,0,0,0,0,0,21,22,0,0,0,0,0,0,0,5,17,17,17,17,6,0,0,0,0,111,0,0,21,22,
21,22,0,0,79,0,0,5,6,0,0,0,0,21,22,0,0,0,0,0,0,0,37,53,55,54,53,38,0,0,0,0,111,0,0,21,22,
21,22,0,0,79,0,0,21,22,0,0,0,0,21,22,0,0,0,0,0,0,0,0,0,21,22,0,0,0,0,0,0,111,0,0,21,22,
21,39,0,0,79,0,0,23,39,0,0,0,0,23,39,0,0,0,0,0,0,0,0,0,23,39,0,0,0,0,0,0,111,0,0,23,22,
21,50,17,17,17,17,17,49,50,17,17,17,17,49,50,17,17,17,17,17,17,17,17,17,49,50,17,17,17,17,17,17,17,17,17,49,22,
37,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,38

